,error0
613,14.0
614,7.4
615,5.0
616,8.666666666666666
617,4.0
618,3.0
619,4.0
620,28.0
621,6399.95
622,11.0
623,1084.0
624,2.0
625,1.6
626,6.0
627,1.5
628,247.11111111111111
629,2.3333333333333335
630,6.0
631,5.333333333333333
632,14.0
633,1.0
634,3.0
635,18096.0
636,6.0
637,4.0
638,1.2
639,6.0
640,4.0
641,5.0
642,3.0
643,13.0
644,2.0
645,1.0
646,4.0
647,5.0
648,5.0
649,5.0
650,6.0
651,6.0
652,5.0
653,6.75
654,5.5
655,3.0
656,3.0
657,9.0
658,2.0
659,9.0
660,40381.0
661,3.0
662,22.0
663,1.5
664,4.5
665,1.0909090909090908
666,8.0
667,11169.0
668,3.0
669,1.1666666666666667
670,13.0
671,20.0
672,1.1428571428571428
673,7.0
674,18.0
675,4.666666666666667
676,1.8823529411764706
677,18.5
678,3.0
679,4.0
680,8.0
681,7.0
682,4.0
683,4.0
684,1.0
685,7.5
686,4.5
687,6.333333333333333
688,1.6666666666666667
689,3.0
690,1.3333333333333333
691,4.5
692,2.5
693,2.0
694,18.0
695,5.0
696,1.5714285714285714
697,3.0
698,5.0
699,4.0
700,1.3333333333333333
701,2.15
702,1.3076923076923077
703,1.4
704,4.0
705,2.3076923076923075
706,1.0
707,3.0
708,1.6666666666666667
709,37244.166666666664
710,1.1428571428571428
711,56.5
712,1.0
713,12.0
714,1.375
715,6.0
716,1.4
717,11.0
718,3.0
719,18.9
720,17.0
721,4.857142857142857
722,6.0
723,8.0
724,3.0
725,20532.333333333332
726,10.0
727,3.0
728,1.0
729,1.0
730,5.0
731,12.0
732,2.0
733,10.0
734,15.0
735,5.0
736,7.0
737,20.0
738,13.0
739,8.5
740,2.0
741,3.0
742,25.285714285714285
743,6.5
744,2.5217391304347827
745,3.0
746,4.0
747,8.4
748,1.0
749,8.0
750,3.0
751,10.0
752,2.0
753,2.5
754,3.2
755,12.8
756,7025.0
757,3.0
758,3.0
759,9.0
760,22.0
761,4.0
762,6.0
763,11.0
764,3.0
765,222750.33333333334
766,4.0
767,34.125
768,12.0
769,5.0
770,3.0
771,4.0
772,3.0
773,2.0
774,3.0
775,6.0
776,4.5
777,22.8
778,31.0
779,34.0
780,1.2
781,8.0
782,1.5
783,13.0
784,3.0
785,3.0
786,1.0
787,9.0
788,4.666666666666667
789,1.0
790,17.0
791,16.0
792,1.2857142857142858
793,8.0
794,11.0
795,1.3333333333333333
796,17.0
797,5.0
798,7.0
799,3.4285714285714284
800,3.3333333333333335
801,1.6666666666666667
802,4.0
803,3.0
804,10.0
805,81916.0
806,2.0
807,1.3333333333333333
808,3.0
809,3.0
810,2235.125
811,7.0
812,2.0
813,2.5
814,1.25
815,6.0
816,2.0
817,1.5
818,1533.0
819,1.75
820,1.5
821,2.0
822,6.0
823,2.0
824,1.0
825,7.0
826,296.5
827,5.0
828,3.0
829,1.0
830,28.11764705882353
831,9.0
832,1.2727272727272727
833,1.0
834,1.368421052631579
835,4.0
836,7.0
837,5.0
838,5.0
839,16.11111111111111
840,3.0
841,5.0
842,2.0
843,241.0
844,2.6666666666666665
845,11.0
846,2.0
847,2.0
848,2.5
849,9.0
850,1.8
851,4.0
852,3.0
853,14.0
854,13.2
855,10.0
856,11.0
857,2.0
858,1.0
859,10.0
860,9.0
